Country,Clicks,Impressions,CTR,Position
Maldives,0,405,0%,18.61
Rwanda,0,385,0%,21.28
Bermuda,0,382,0%,37.53
Congo - Brazzaville,0,329,0%,35.71
Curaçao,0,283,0%,32.72
Cape Verde,0,272,0%,44.72
Congo - Kinshasa,0,264,0%,28.47
Mali,0,248,0%,30.45
Madagascar,0,247,0%,37.41
Fiji,0,241,0%,16.25
Mozambique,0,238,0%,33.58
Aruba,0,233,0%,32.91
Haiti,0,228,0%,19.63
Dominica,0,217,0%,32.05
Swaziland,0,194,0%,12.35
Mauritania,0,183,0%,16.38
British Virgin Islands,0,178,0%,34.4
Andorra,0,178,0%,37.37
Benin,0,173,0%,29.36
Réunion,0,171,0%,38.22
Western Sahara,0,153,0%,23.73
Turks & Caicos Islands,0,147,0%,30.18
Guadeloupe,0,129,0%,26.52
Gambia,0,124,0%,26.67
Bhutan,0,115,0%,14.92
Martinique,0,113,0%,23.02
Sudan,0,104,0%,21.17
Northern Mariana Islands,0,102,0%,12.2
Gibraltar,0,100,0%,24.84
Guernsey,0,97,0%,25.55
Anguilla,0,76,0%,36.58
Guinea,0,72,0%,21.93
Caribbean Netherlands,0,64,0%,21.3
Turkmenistan,0,57,0%,26.6
Faroe Islands,0,56,0%,16.98
Burundi,0,54,0%,32.44
French Guiana,0,52,0%,37.4
New Caledonia,0,45,0%,31.07
Djibouti,0,41,0%,16.1
Micronesia,0,39,0%,16.9
Samoa,0,33,0%,16.61
Kiribati,0,32,0%,25.41
Marshall Islands,0,30,0%,18.87
St. Martin,0,30,0%,24.97
Solomon Islands,0,29,0%,17.55
San Marino,0,29,0%,40.9
Niger,0,27,0%,22.22
Vanuatu,0,26,0%,13.69
Greenland,0,26,0%,18.88
French Polynesia,0,25,0%,25.64
Guinea-Bissau,0,22,0%,13.64
Liechtenstein,0,21,0%,26.05
Timor-Leste,0,18,0%,27.67
Montserrat,0,17,0%,31.35
Equatorial Guinea,0,16,0%,27.94
Chad,0,15,0%,22.2
São Tomé & Príncipe,0,14,0%,39.93
Åland Islands,0,13,0%,23.62
Cook Islands,0,13,0%,24
North Korea,0,12,0%,8.75
Central African Republic,0,12,0%,13.92
St. Helena,0,11,0%,30.27
Eritrea,0,9,0%,13.78
Nauru,0,8,0%,25.25
St. Barthélemy,0,6,0%,9.83
Mayotte,0,6,0%,15.83
Comoros,0,4,0%,4.75
Tuvalu,0,4,0%,7.75
Antarctica,0,4,0%,10
St. Pierre & Miquelon,0,4,0%,28.25
Svalbard & Jan Mayen,0,3,0%,8.33
Falkland Islands (Islas Malvinas),0,2,0%,10.5
British Indian Ocean Territory,0,1,0%,2
