Channel,Total users,New users,Engaged sessions,Returning users
Direct,52139,89185,20502,2052
Organic Search,42220,54003,27539,3968
Cross-network,41322,80035,4965,741
Paid Search,21229,31856,12891,1898
Unassigned,4737,2912,499,83
Referral,2190,3007,2581,294
Organic Social,2172,3162,567,32
Paid Video,758,1510,248,48
Paid Other,642,966,364,8
Display,110,215,34,11
Paid Social,94,142,39,0
Organic Video,40,46,23,6
Organic Shopping,33,59,0,0
AI Assistant,17,34,11,1
